pathway_id,pathway_name,source,description,organism
ecocyc.PHESYN,L-phenylalanine biosynthesis I,EcoCyc,"The pathways of biosynthesis of phenylalanine and tyrosine are intimately connected. The first step of both pathways is the conversion of chorismate to prephenate; the third step of both is the conversion of a ketoacid to an aminoacid through transamination. The two pathways differ only in the second step of their three-step reaction sequences: In the case of phenylalanine biosynthesis a dehydratase converts prephenate to phenylpyruvate (a reaction that occurs slowly in the absence of enzymic acitivity); in the case of tyrosine biosynthesis, a dehydrogenase converts prephenate to p-hydroxyphenylpyruvate. Also in both pathways the first two steps are catalyzed by two distinct active sites on a single protein. Thus the first step of each pathway can be catalyzed by two enzymes: those associated with both the phenylalanine-specific dehydratase and the tyrosine-specific dehydrogenase. Three enzymes, those encoded by tyrB, aspC, and ilvE, are involved in catalyzing the third step of these p",Escherichia coli K-12 MG1655
ecocyc.PWY0-1550,PyrSR Two-Component Signal Transduction System,EcoCyc,"PyrSR is a pyruvate sensing two-component signal transduction system (TCS); the PyrSR system senses and responds to elevated concentrations of extra-cellular pyruvate during nutrient limitation. PyrSR induces expression of a putative pyruvate transporter - YHJX-MONOMER ""YhjX"" - in response to the presence of extracellular pyruvate; PyrSR contributes to the control of nutrient scavenging which occurs upon entry into stationary phase under carbon starvation . Cross-talk between the PyrSR TCS and the PWY0-1559 has been demonstrated, and the two systems are proposed to constitute a nutrient-sensing regulatory network (see also ). PyrSR is a low-affinity pyruvate sensing two-component sytem; PyrSR activates its major target, YhjX, in response to high concentrations of extracellular pyruvate (1mM and greater) . Resuscitation of cold-stressed, viable but nonculturable (VBNC) cells with pyruvate requires the PyrSR and BtsSR signaling network . PyrS is an inner membrane protein predicted to fun",Escherichia coli K-12 MG1655
ecocyc.PWY-7193,pyrimidine ribonucleosides salvage I,EcoCyc,"General Background The essential ribonucleoside triphosphates (UTP and CTP) can be synthesized either de novo (see PWY0-162) or by utilizing free pyrimidine bases (URACIL and CYTOSINE) or their nucleosides (URIDINE and CYTIDINE) by importing them from the environment. Both free bases and nucleosides can be imported into the cell by specialized transporters . On the other hand, nucleotides (which are phosphorylated) can not be imported due to their negative charge, and thus can not be salvaged from the environment. Salvage is very important for many types of organisms and cells. Any of the pyrimidine bases and pyrimidine nucleosides can in theory serve as a total source of pyrimidine for ribonucleoside triphosphates biosynthesis (and subsequently for deoxyribonucleoside triphosphates synthesis). It is well documented that yeast prefer to salvage nucleobases, while animals prefer the salvage of nucleosides. About This Pathway The key enzyme in this salvage pathway is uridine-cytidine kin",Escherichia coli K-12 MG1655
ecocyc.PWY-6282,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),EcoCyc,"General Background Palmitoleate is a common unsaturated fatty acid, found in bacteria, fungi , plants and animals . In E. coli, two unsaturated fatty acids, palmitoleate and cis-vaccenate, together comprise about one-half of the total fatty acid content of the organism. Palmitate, palmitoleate and cis-vaccenate make up the bulk of the fatty acids found in E. coli membranes . About This Pathway E. coli has three β-ketoacyl-ACP synthases (KAS): FABB-CPLX, 3-OXOACYL-ACP-SYNTHII-CPLX and CPLX0-252, encoded by EG10274, EG12606 and EG10277, respectively. In E. coli, the extension of a cis-δ-5-decenoyl-[acp] to a palmitoleoyl-[acp] is believed to be catalyzed primarily by KASI. Inactivation of this enzyme leads to a lack of unsaturated fatty acids . On the other hand, overexpression of KASI leads to the overproduction of cis-vaccenate . It has been shown that the basal ratio of saturated to unsaturated fatty acids in E. coli is controlled by the level of two enzymes - FABA-CPLX (EG10273) and ",Escherichia coli K-12 MG1655
ecocyc.AMMASSIM-PWY,ammonia assimilation cycle III,EcoCyc,"TAX-83333 can synthesize GLT from AMMONIA in two ways. In addition, if complex sources of nitrogen are available, other pathways become active and take over glutamate synthesis. In the first pathway, GLT is synthesized directly from AMMONIA, 2-KETOGLUTARATE, and NADPH, as described in GLUTSYNIII-PWY. The other pathway, which is described here, is a cyclic pathway, which consists of two steps. In the first step GLN is synthesized from AMMONIA and GLT in an ATP-requiring reaction. GLUTAMINESYN-RXN (EC 6.3.1.2) In the second step the amido group is transferred from GLN to 2-KETOGLUTARATE, yielding two molecules of GLT. GLUTAMATESYN-RXN (EC 1.4.1.13) Because the first reaction utilizes one molecule of glutamate, while the second reaction yields two molecules of glutamate, these two reactions function as a cycle, each turn of which utilizes one molecule each of AMMONIA, ATP, NADPH, and 2-KETOGLUTARATE, and produces one molecule of GLT. This pathway is active in energy-rich (glucose-containi",Escherichia coli K-12 MG1655
ecocyc.PWY0-1481,BaeSR Two-Component Signal Transduction System,EcoCyc,"In E. coli K-12, two component systems sense and respond to changes in environmental conditions. Typically, a membrane associated sensor kinase autophosphorylates in response to an environmental signal. The sensor kinase then transfers a phosphoryl group to a response regulator (RR) which thus activated, effects a response. The majority of RRs in E. coli are transcription factors. The BaeSR two-component system comprises BAES-MONOMER ""BaeS"" - the membrane associated sensor kinase - and BAER-MONOMER ""BaeR"" - the cytoplasmic response regulator. . The BaeSR system induces expression of G6939-MONOMER ""spy"" in response to envelope stresses such as spheroblast formation or misfolded pilus subunits, leading to the suggestion that BaeSR is an envelope stress response pathway . baeS and baeR form an operon with the multidrug resistance cluster mdtABCD and BaeR binds to and stimulates the transcriptional activity of the mdtA promoter . Overexpression of BaeR results in increased resistance to no",Escherichia coli K-12 MG1655
ecocyc.PWY-5698,allantoin degradation to ureidoglycolate II (ammonia producing),EcoCyc,"S-ALLANTOIN is a common product of purine degradation. E. coli is able to utilize allantoin as the sole source of nitrogen under anaerobic conditions . Many organisms that degrade S-ALLANTOIN do so with the concomitant production of AMMONIA. Following S-ALLANTOIN ring opening by allantoinase, there are two immediate steps in which ammonia is formed - the conversion of ALLANTOATE to CPD0-2298, and the conversion of the latter to CPD-1091 . Radio-labelled carbon experiments indicated the presence of a uricase that catalyses degradation of urate to S-allantoin, but no such enzyme has been detected in E. coli . However, a pathway of PWY-5691 has been discovered in other organisms.",Escherichia coli K-12 MG1655
ecocyc.TRPSYN-PWY,L-tryptophan biosynthesis,EcoCyc,"General Background In Escherichia coli tryptophan is biosynthesized from chorismate, the principal common precursor of the aromatic amino acids tryptophan, tyrosine and phenylalanine, as well as the essential compounds tetrahydrofolate, ubiquinone-8, menaquinone-8 and enterobactin (enterochelin), as shown in the ALL-CHORISMATE-PWY. Five genes encode five enzymes that catalyze tryptophan biosynthesis from chorismate. The five genes trpE trpD trpC trpB trpA form a single transcription unit, the trp operon. A weak internal promoter also exists within the trpD structural gene that provides low, constitutive levels of mRNA, although its exact physiological function is unclear . Two of the genes in the trp operon encode bifunctional enzymes, each containing two independent catalytic domains. Thus, a total of seven catalytic domains are involved in tryptophan biosynthesis. The two bifunctional enzymes encoded by trp D and trpC appear to have arisen from ancestral gene fusion events with trpG ",Escherichia coli K-12 MG1655
ecocyc.PWY0-1355,formate to trimethylamine N-oxide electron transfer,EcoCyc,"In the anaerobic respiratory chain formed by formate dehydrogenase and trimethylamine N-oxide (TMAO) reductase the transfer of electrons from formate to TMAO is coupled to the generation of a proton-motive force across the cytoplasmic membrane . TMAO reductase does not contribute to proton potential (see review by ); formate dehydrogenase N contributes to the generation of proton potential (H+/e- = 1) by means of a redox loop mechanism . Menaquinone (shown here) or demethylmenaquinone serves as the redox mediator during anaerobic respiration with TMAO . Electrons are channeled from the membrane quinone pool to periplasmic TMAO reductase TorA, via a membrane-associated c-type cytochrome TorC. TorC interacts transiently with TorA (see although they are depicted as a complex for the purpose of this pathway. E. coli K-12 contains two respiratory formate dehydrogenases. Formate dehydrogenase N is induced by anaerobiosis and the presence of nitrate . Formate dehydrogenase O (FdhO) is express",Escherichia coli K-12 MG1655
ecocyc.PWY0-1391,S-methyl-5'-thioadenosine degradation IV,EcoCyc,"5'-Methylthioadenosine (MTA) is a side product of the BSUBPOLYAMSYN-PWY and PWY0-1303 pathways. Many organisms are able to recycle MTA via the PWY-4361 pathway. However, while the E. coli CPLX0-1541 can hydrolyze MTA to adenine and methylthioribose (MTR), MTR can not be further metabolized and is excreted . No transporter for MTR is currently known. Excretion of MTR entails a loss of sulfur, which may explain why putrescine rather than spermidine is the major polyamine in E. coli . In early experiments, 5'-methylthioribose was shown to be a normal biosynthetic product that is secreted into the growth medium by E. coli B . Review:",Escherichia coli K-12 MG1655
ecocyc.PWY3O-4106,NAD salvage pathway IV (from nicotinamide riboside),EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.4AMINOBUTMETAB-PWY,superpathway of 4-aminobutanoate degradation to succinate,EcoCyc,"4-aminobutyrate (or γ-aminobutyrate, GABA) is present in the environment as a product of plant and animal tissue decay. In many bacteria, GABA can be synthesized as an intermediate in the degradation of putrescine (see Putrescine-Degradation). E. coli K-12 can utilize GABA as the sole source of nitrogen with a slow generation time of approximately 400 minutes . It was initially reported that E. coli K-12 can not utilize GABA as the sole source of either nitrogen or carbon; mutants that have gained both abilities can be isolated and may affect regulation. The first reaction of this pathway, the transfer of the amino group from GABA to 2-ketoglutarate, forming glutamate and succinate semialdehyde, can be catalyzed by two independently expressed 4-aminobutyrate aminotransferases. Succinate semialdehyde is a toxic intermediate; two dehydrogenases with differing cosubstrate requirements catalyze its detoxification by dehydrogenation to succinate. Mutants in the gab operon are still able to ",Escherichia coli K-12 MG1655
ecocyc.PWY0-1587,N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis,EcoCyc,"tRNAs undergo a large number of posttranscriptional modifications. One of the few universally conserved of these is the N6-threonylcarbamoyladenosine (t6A) modification at position 37 of ANN-decoding tRNAs . The t6A37 modification contributes to translational fidelity and plays a critical role in restricting initiation codons to AUG and in limiting frameshifting at tandem ANN codons . The t6A modification is essential in E. coli and many, but not all other bacteria . The first intermediate in the pathway, CPD-15435 threonylcarbamoyl-AMP, is synthesized by G7698-MONOMER . Attachment of the threonylcarbamoyl moiety to the A37 nucleotide of tRNAs is catalyzed by a heteromultimeric enzyme, CPLX0-8182 . Review:",Escherichia coli K-12 MG1655
ecocyc.GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),EcoCyc,"General Background Glycolysis, which was first studied as a pathway for the utilization of glucose, is one of the components of central metabolism, the other two being the PENTOSE-P-PWY and the TCA. As such, its functioning is essential under all conditions of growth because it produces six (GLC-6-P, FRUCTOSE-6P, DIHYDROXY-ACETONE-PHOSPHATE, G3P, PHOSPHO-ENOL-PYRUVATE, and PYRUVATE) of the 13 precursor metabolites that are the starting materials for the biosynthesis of building blocks for macromolecules and other needed small molecules. Glycolysis can be found, if at least in part, in all organisms. Glycolysis has evolved as a catabolic anaerobic pathway that fulfills two essential functions: i) it oxidizes hexoses to generate ATP, reductants and PYRUVATE, and ii) it is an amphibolic pathway (pathway that involves both catabolism and anabolism) because it can reversibly produce hexoses from various low-molecular weight molecules. Because various degradation pathways feed into glycolysi",Escherichia coli K-12 MG1655
ecocyc.GLUTDEG-PWY,L-glutamate degradation II,EcoCyc,"The primary pathway for utilization of GLT as a carbon source in TAX-83333 involves transamination with OXALACETIC_ACID, yielding L-ASPARTATE and 2-KETOGLUTARATE . The reaction is catalyzed by ASPAMINOTRANS-DIMER. The OXALACETIC_ACID needed to continue the reaction is regenerated through the TCA. The L-ASPARTATE thus formed is converted to FUM and AMMONIA by ASPARTASE-CPLX, also known as aspartase. FUM Fumarate then enters the TCA. Mutants unable to form either of these two enzymes lose the ability to utilize GLT as a carbon source .",Escherichia coli K-12 MG1655
ecocyc.PWY0-1352,nitrate reduction VIII (dissimilatory),EcoCyc,"In the anaerobic respiratory chain formed by NADH dehydrogenase and nitrate reductase the transfer of electrons from NADH to nitrate is coupled to the generation of a proton-motive force (H+/e- = 3) across the cytoplasmic membrane ( and see ). E. coli K-12 contains two NADH dehydrogenases - energy conserving NDH-I (shown in this pathway) and NDH-II which does not contribute to the proton gradient; both enzymes appear to be involved in anaerobic nitrate respiration . By analogy to the related enzyme from mitochondria, NDH-I is thought to function as a proton pump translocating 4H+ per NADH oxidised (2e-) [H+/e- = 2] however a lower ratio of 3H+/2e- has also been proposed . Nitrate induces the expression of the nuo operon (encoding NDH-I) in a NarL dependent manner E. coli K-12 also contains two energy conserving (H+/e- = 1) nitrate reductases. Expression of nitrate reductase A (NRA) occurs in response to high levels of nitrate in the environment whereas expression of nitrate reductase Z",Escherichia coli K-12 MG1655
ecocyc.PWY-7761,NAD salvage pathway II (PNC IV cycle),EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY-7183,pyrimidine nucleobases salvage I,EcoCyc,"General Background The essential ribonucleoside triphosphates (UTP and CTP) can be synthesized either de novo (see PWY0-162) or by utilizing free pyrimidine bases (URACIL and CYTOSINE) or their nucleosides (URIDINE and CYTIDINE) by importing them from the environment. Both free bases and nucleosides can be imported into the cell by specialized transporters . On the other hand, nucleotides (which are phosphorylated) can not be imported due to their negative charge, and thus can not be salvaged from the environment. Salvage is very important for many types of organisms and cells. Any of the pyrimidine bases and pyrimidine nucleosides can in theory serve as a total source of pyrimidine for ribonucleoside triphosphates biosynthesis (and subsequently for deoxyribonucleoside triphosphates synthesis). It is well documented that yeast prefer to salvage nucleobases, while animals prefer the salvage of nucleosides. About This Pathway The key enzyme in the salvage of the pyrimidine nucleobase URA",Escherichia coli K-12 MG1655
ecocyc.PWY-6164,3-dehydroquinate biosynthesis I,EcoCyc,"CHORISMATE is an intermediate in the synthesis of three amino acids: PHE, TYR and TRP. In addition it is a precursor of folic acid, ubiquinone, menaquinone, and enterochelin . Chorismate is synthesized from DEHYDROQUINATE, which can be synthesized in different pathways in different organisms. This pathway describes the biosynthesis of DEHYDROQUINATE, which is synthesized from the common central metabolism intermediate ERYTHROSE-4P in two steps. The pathway describes the first part of the chorismate pathway (see ARO-PWY) . The first reaction in the pathway is catalyzed by three separate enzymes (isozymes), each of which is subject to feedback inhibition by one of the three amino acids that are synthesized from chorismate - PHE, TYR and TRP. The enzyme subject to regulation by tryptophan (encoded by EG10080) cannot be inhibited more than 60 percent, ensuring that sufficient enzymatic activity is present to permit synthesis of the other four metabolites synthesized from chorismate even in",Escherichia coli K-12 MG1655
ecocyc.ALL-CHORISMATE-PWY,superpathway of chorismate metabolism,EcoCyc,"Chorismate is the principal common precursor of the aromatic amino acids tryptophan, tyrosine and phenylalanine, as well as the essential compounds tetrahydrofolate, ubiquinone-8, menaquinone-8 and enterobactin (enterochelin). The pathway from D-erythrose-4-phosphate to chorismate is known as the common pathway, or shikimate pathway. A review of the elucidation of the common pathway and its terminal pathway branches to the aromatic amino acids can be found in the reference below. Review: Pittard, J. and J. Yang (2008) ""Biosynthesis of the Aromatic Aminio Acids."" EcoSal 3.6.1.8",Escherichia coli K-12 MG1655
ecocyc.PWY-5084,2-oxoglutarate decarboxylation to succinyl-CoA,EcoCyc,"General Background The 2-oxo acid dehydrogenase complexes of E. coli convert 2-oxo acids to the corresponding acyl-CoA derivatives and produce NADH and CO2. These large, multienzyme complexes include the pyruvate dehydrogenase complex (PDHC) (see PYRUVDEHYD-PWY) and the 2-oxoglutarate dehydrogenase complex (OGDHC, shown here). They consist of three enzyme components, a 2-oxo acid dehydrogenase (decarboxylating) (E1), a dihydrolipoamide acyltransferase (E2), and a dihydrolipoamide dehydrogenase (E3). Components E1 and E2 are unique to each enzyme, while component E3 is functionally interchangeable between the two complexes . E3 also functions in the GLYCLEAV-PWY. The E. coli K-12 2OXOGLUTARATEDEH-CPLX comprises 12, 24, and 2 units of the E1(o), E2(o), and E3 components, respectively whereas the PYRUVATEDEH-CPLX comprises 24, 24, and 12 units of the E1(p), E2(p), and E3 components, respectively. In both E. coli enzymes the octahedral core of the complex is made up of 24 E2 units which co",Escherichia coli K-12 MG1655
ecocyc.PWY-6537,4-aminobutanoate degradation II,EcoCyc,"General Background 4-Aminobutyrate (γ-aminobutyrate, GABA) is the major inhibitory neurotransmitter in the mammalian brain. Recent findings suggest that GABA has a role as a signal molecule in plants as well . In animals and plants GABA is produced by the cytosolic enzyme glutamate decarboxylase. In enteric bacteria such as Escherichia coli, 4-aminobutyrate is produced by glutamate decarboxylase as part of the acid resistance system 2 (AR2) (see PWY0-1305). It is also produced as an intermediate in putrescine degradation (see PWY-6535) . The most common path for GABA degradation involves transamination to succinate semialdehyde followed by oxidation to succinate. The amino-group acceptor for the transamination can be either 2-oxoglutarate in mammalian brain and bacteria , or pyruvate in plants . Many bacteria have the ability to degrade GABA which is present in the environment as a product of plant and animal tissue decay. The first indication for a bacterial pathway for GABA degradati",Escherichia coli K-12 MG1655
ecocyc.PWY0-1305,L-glutamate degradation IX (via 4-aminobutanoate),EcoCyc,"Enteric bacteria must be able to survive extremely acidic conditions in order pass through the stomachs of their hosts. E. coli contains acid resistance systems in order to maintain an internal pH of about 4.0 to 5.0 in a highly acidic environment with a pH of 2.0 to 2.5. Acid resistance system 2 (AR2) is the glutamate-dependent acid resistance system which couples the transport activity of a glutamate:4-aminobutyrate antiporter, GadC, with glutamate decarboxylase, GadA/GadB. GadA or GadB is sufficient for survival at pH 2.5, but both GadA and GadB are required for survival at pH 2.0. GadC functions by exchanging external glutamate for internal 4-aminobutyrate. Glutamate is imported into the cell through GadC. Within the cell glutamate is decarboxylated by GadA/GadB to 4-aminobutyrate, releasing CO2 and replacing it with a proton. 4-aminobutyrate is then exported through GadC. This effectively consumes protons within the cytoplasm, raising the pH. An additional effect of the acid resis",Escherichia coli K-12 MG1655
ecocyc.PWY-7980,ATP biosynthesis,EcoCyc,"EC-7.1.2.2, is an enzyme that uses the free energy derived from the transmembrane proton gradient to catalyze the synthesis of ATP from ADP and inorganic phosphate. Several types of ATP synthases are known. The F-type is a large enzyme found in mitochondria, chloroplasts and bacteria. The enzyme comprises two subcomplexes - a membrane sector (Fo) and a cytoplasmic-compartment sector (F1). Functionally, ATP synthase may be considered tripartite, consisting of a rotor, a rotor stalk or stator, and three catalytic sites where ATP synthesis or hydrolysis occurs . The enzyme is a rotary molecular nanomotor that couples the mechanical force of subunit rotation to the synthesis or hydrolysis of ATP at the enzyme's catalytic sites. Proton movement across the membrane, which is driven by the H+ electrochemical potential gradient, generates subunit rotation that drives ATP synthesis by forcing sequential conformational changes at each of the three catalytic sites. The rotor rotates by consecutiv",Escherichia coli K-12 MG1655
ecocyc.PWY-6151,S-adenosyl-L-methionine salvage I,EcoCyc,"Background About 20% of the MET pool is used as a building block of proteins. The rest is converted to S-ADENOSYLMETHIONINE (SAM), the major methyl donor in the cell. When SAM donates its methyl group, it is converted to ADENOSYL-HOMO-CYS (SAH). This molecule can be recycled back to SAM. There are two main variants of this pathway, one found mostly in prokaryotes, while the other is found predominantly, but not exclusively, in eukaryotes. The main difference between the variants is the processing of SAH, the immediate product of methylation reactions. About this pathway In this pathway, SAH is first hydrolyzed to CPD-564 by CPLX0-1541, followed by conversion to HOMO-CYS by EG12712-MONOMER. The pathway continues with the methylation of L-homocysteine to MET using a methyl group from a methylated folate. E. coli has both a HOMOCYSMETB12-MONOMER and a HOMOCYSMET-MONOMER enzyme that can catalyze this reaction. Finally, the pathway is completed with the regeneration of SAM by S-ADENMETSYN-C",Escherichia coli K-12 MG1655
ecocyc.PWY0-1298,superpathway of pyrimidine deoxyribonucleosides degradation,EcoCyc,"E. coli can use all three naturally occurring pyrimidine deoxyribonucleosides (deoxycytidine, deoxyuridine, and thymidine) as total sources of carbon and energy. Deoxyuridine and thymidine are cleaved by a specific phosphorylase, yielding a pyrimidine base and D-deoxyribose-1-phosphate, which is converted to D-deoxyribose-5-phosphate by a mutase that also can utilize D-ribose-1-phosphate as a substrate. A specific aldolase splits D-deoxyribose-5-phosphate, yielding D-glyceraldehyde-3-phosphate, which enters central metabolism through the glycolytic pathway, and acetaldehyde, which must be converted to acetyl-CoA before it can enter central metabolism. It does so via the TCA cycle. In contrast, E. coli lacks a specific phosphorylase capable of cleaving deoxycytidine. This nucleoside must be deaminated (thereby yielding deoxyuridine) before it can be cleaved. Although E. coli is able to utilize the deoxyribose moiety of deoxyribonucleosides, it is unable to utilize exogenously supplied d",Escherichia coli K-12 MG1655
ecocyc.PWY-8462,UDP-N-acetyl-α-D-mannosamine biosynthesis,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-301,"L-ascorbate degradation I (bacterial, anaerobic)",EcoCyc,"E. coli is able to utilize L-ascorbate (vitamin C) as the sole source of carbon under anaerobic conditions . L-ascorbate is imported and converted to L-ascorbate-6-phosphate by the L-ascorbate PTS transporter . L-ascorbate-6-phosphate is subsequently metabolized by UlaG, UlaD, UlaE and UlaF to D-xylulose-5-phosphate, which can enter central metabolism via the non-oxidative branch of the pentose phosphate pathway . Expression of the ula regulon is regulated by the L-ascorbate 6-phosphate-binding repressor UlaR and by cAMP-CRP .",Escherichia coli K-12 MG1655
ecocyc.HOMOSER-METSYN-PWY,L-methionine biosynthesis I,EcoCyc,"General Background Methionine can be biosynthesized by microorganisms and plants, although mammals cannot biosynthesize methionone de novo. Methionine is required for many important cellular functions. It is a basic building block of proteins and is required for the initiation of protein synthesis (via N-formyl-L- methionine). Methionine is also used in the synthesis of S-adenosyl-L-methionine which is the major methyl group donor in cellular metabolism. S-adenosyl-L-methionine is also utilized in pathways such as PWY-6153 and BSUBPOLYAMSYN-PWY. Some bacteria including Escherichia coli synthesize methionine using organic sulfur through transsulfuration of O-acylated homoserine with cysteine to form cystathionine. Cystathionine is then cleaved to homocysteine, and methylated to methionine as shown in this pathway . Other bacteria, yeast and fungi can use a different route in which they directly assimilate inorganic sulfur by a sulfhydrylation (see MetaCyc pathways SO4ASSIM-PWY, PWY-5344",Escherichia coli K-12 MG1655
ecocyc.METHGLYUT-PWY,superpathway of methylglyoxal degradation,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.ORNARGDEG-PWY,superpathway of L-arginine and L-ornithine degradation,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY-7196,superpathway of pyrimidine ribonucleosides salvage,EcoCyc,,Escherichia coli K-12 MG1655
ecocyc.PWY0-1584,sn-glycerol 3-phosphate anaerobic respiration,EcoCyc,"The presence of an anaerobic respiratory chain comprising EC-1.9.6.1 (periplasmic nitrate reductase) and EC-1.1.5.3 in TAX-83333 is supported by studies using isogenic strains with combinations of null lesions encompassing the periplasmic and membrane associated nitrate reductases (NAP-CPLX Nap, NITRATREDUCTA-CPLX ""NRA"" and NITRATREDUCTZ-CPLX ""NRZ""). These studies indicate that TAX-562 can use NAP-CPLX (Nap) and FUMARATE-REDUCTASE equally well in a respiratory chain with GLYCEROL-3P as electron donor . A strain expressing only Nap (lacking NRA and NRZ) is preferentially selected during continuous anaerobic growth with glycerol under nitrate limiting conditions Nap is preferentially expressed at low nitrate concentration - conditions under which it may be economical for the cell to reduce nitrate in the periplasm and make nitrite directly available to the energy conserving NRFMULTI-CPLX periplasmic nitrite reductase . Nap can accept electrons from either ubiquinol (shown in this pathway",Escherichia coli K-12 MG1655
ecocyc.KDOSYN-PWY,Kdo transfer to lipid IVA (E. coli),EcoCyc,"KDO, 3-deoxy-D-manno-octulosonate, is a component of lipopolysaccharide. KDO is added to the lipid A precursor, lipid IVA, in two sequential steps resulting in two distinct KDO residues per lipid IVA. Further acylation reactions are needed to produce the final KDO2-Lipid A moiety. Lipopolysaccharide (LPS), a major outer membrane component, is composed of three domains: Lipid A; the core, which is an oligosaccharide consisting of an inner and outer region; and a distal repeating unit known as O-antigen. Strains of E. coli K-12 normally do not make O-antigen, unless a mutation in the O-antigen operon is corrected . Lipid A is a β-1,6-linked glucosamine disaccharide. Attached to this is the inner core containing at least two 3-deoxy-D-manno-octulosonate units followed by two units of heptose. The outer core region and the O-antigen are attached to one of the heptose units. A quantitative model of the enzymatic steps in this pathway and its regulation has been built .",Escherichia coli K-12 MG1655
ecocyc.PWY0-1182,trehalose degradation II (cytosolic),EcoCyc,"While E. coli only synthesizes trehalose under conditions of high osmolarity, it can degrade the sugar under conditions of both low and high osmolarity and can utilize it as the sole carbon source. Different pathways are employed under different osmolarity conditions. Under high osmotic conditions the bacterium synthesizes large amounts of trehalose, which is used as an osmoprotectant . Trehalose molecules that leak from the cytoplasm into the periplasm can be recycled by the action of the TreA, a periplasmic trehalase (see PWY0-1466). A second trehalase, TreF, is located in the cytoplasm and is active during the transition period between high and low osmolarity. As the cells are shifting their metabolism to adjust to low osmolarity, TreF removes the internal pool of trehalose. The relatively low enzymatic activity of TreF is low enough not to compromise the biosynthesis of trehalose during high osmolarity, yet is sufficient to degrade the accumulated trehalose after the return to norm",Escherichia coli K-12 MG1655
ecocyc.PWY-6620,guanine and guanosine salvage I,EcoCyc,"General Background Guanosine nucleotides can be synthesized de novo as shown in pathway PWY-6125. In that route GMP is synthesized via IMP and XMP, which is converted to GMP by the action of GMP synthetase, an enzyme that can use either glutamine or ammonia as substrate. Note that the free base guanine or the ribonucleoside guanosine are not produced via the de novo biosynthesis pathway. Many organisms can also recycle guanosine nucleotides by a combination of degradation and salvage pathways. The degradation pathway is responsible for degradation of the nucleotides to the nucleoside guanosine and the base guanine, which can be further degraded via xanthine and urate (see pathway PWY-6608). In some organisms urate is catabolized to basic building blocks (see MetaCyc pathway PWY-5691). However, both guanosine and guanine can be salvaged by certain enzymes and converted back to their nucleotide form as shown in this pathway and pathway PWY-6618. In Escherichia coli the pathway shown here",Escherichia coli K-12 MG1655
ecocyc.GLYCOGENSYNTH-PWY,glycogen biosynthesis I (from ADP-D-Glucose),EcoCyc,"Glycogen is a glucose-containing polysaccharide, comprised of approximately 95% α-1,4 linkages and 5% α-1,6 branch glucosyl linkages, with an average chain length of 12 to 14 glucose units. ADP-glucose is the glucosyl donor, which is transferred to either a maltodextrin or glycogen primer, forming a new α-1,4-glucosidic linkage. The first enzyme of the pathway, glucose-1-phosphate adenylyltransferase, is rate-limiting. After chain elongation, the formation of the branched α-1,6-glucosidic linkages from the growing polyglucose chain is catalyzed by the glycogen branching enzyme. Reviews: Preiss, J., Regulation of Glycogen Synthesis, Chapter 67 in and",Escherichia coli K-12 MG1655
ecocyc.PWY0-662,PRPP biosynthesis,EcoCyc,PRPP (PRPP) is a pivotal metabolite; a total of 10 enzymes in a variety of biosynthesis and salvage pathways utilize PRPP as substrate. PRPP is synthesized from ribose 5-phosphate and ATP by PRPPSYN-MONOMER.,Escherichia coli K-12 MG1655
ecocyc.MENAQUINONESYN-PWY,menaquinol-8 biosynthesis,EcoCyc,"The menaquinone biosynthesis pathway supplies two of the three major quinones in E. coli, demethylmenaquinone (DMK) and menaquinone (MK). The third major quinone, ubiquinone (Q), is synthesized from the same precursor, chorismate, but using a different pathway (see UBISYN-PWY). All three quinones function as electron carriers within the cytoplasmic membrane, and each is required for respiration using different, although overlapping subsets of final electron acceptors. Menaquinone is also known as vitamin K2, because it is an essential nutrient that can not be synthesized by mammals. Reviews:",Escherichia coli K-12 MG1655
ecocyc.TYRSYN,L-tyrosine biosynthesis I,EcoCyc,"The pathways of biosynthesis of phenylalanine and tyrosine are intimately connected. The first step of both pathways is the conversion of chorismate to prephenate; the third step of both is the conversion of a ketoacid to the aminoacid through transamination. The two pathways differ only in the second step of their three-step reaction sequences: In the case of phenylalanine biosynthesis a dehydratase converts prephenate to phenylpyruvate (a reaction that occurs slowly in the absence of enzymic acitivity); in the case of tyrosine biosynthesis, a dehydrogenase converts prephenate to p-hydroxyphenylpyruvate. Also in both pathways the first two steps are catalyzed by two distinct active sites on a single protein. Thus the first step of each pathway can be catalyzed by two enzymes: those associated with both the phenylalanine-specific dehydratase and the tyrosine-specific dehydrogenase. Three enzymes, those encoded by tyrB, aspC, and ilvE, are involved in catalyzing the third step of these ",Escherichia coli K-12 MG1655
